Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Gaido, Marco; Cettolo, Mauro; Negri, Matteo; Turchi, Marco; ","CTC-based Compression for Direct Speech Translation","Proceedings of the 16th Conference of the European Chapter of the Association for Computational Linguistics: Main Volume",,,690-696,2021,"Association for Computational Linguistics"
"Gaido, Marco; Papi, Sara; Negri, Matteo; Bentivogli, Luisa; ","Speech Translation with Speech Foundation Models and Large Language Models: What is There and What is Missing?","Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)",,,14760-14778,2024,"Association for Computational Linguistics"
"Papi, Sara; Gaido, Marco; Pilzer, Andrea; Negri, Matteo; ","When Good and Reproducible Results are a Giant with Feet of Clay: The Importance of Software Quality in NLP","Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)",,,3657-3672,2024,"Association for Computational Linguistics"
"Gaido, Marco; Papi, Sara; Bentivogli, Luisa; Brutti, Alessio; Cettolo, Mauro; Gretter, Roberto; Matassoni, Marco; Nabih, Mohamed; Negri, Matteo; ","MOSEL: 950,000 Hours of Speech Data for Open-Source Speech Foundation Model Training on EU Languages","Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing",,,13934-13947,2024,"Association for Computational Linguistics"
"Gaido, M.; Tang, Y.; Kulikov, I.; Huang, R.; Gong, H.; Inaguma, H.; ","Named Entity Detection and Injection for Direct Speech Translation","ICASSP 2023 - 2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,,1-5,2023,"IEEE"
"Gaido, Marco; Savoldi, Beatrice; Bentivogli, Luisa; Negri, Matteo; Turchi, Marco; ","Breeding Gender-aware Direct Speech Translation Systems","Proceedings of the 28th International Conference on Computational Linguistics",,,3951-3964,2020,"International Committee on Computational Linguistics"
"Gaido, Marco; Di Gangi, Mattia A.; Negri, Matteo; Turchi, Marco; ","End-to-End Speech-Translation with Knowledge Distillation: FBK@IWSLT2020","Proceedings of the 17th International Conference on Spoken Language Translation",,,80-88,2020,"Association for Computational Linguistics"
"Gaido, Marco; Rodríguez, Susana; Negri, Matteo; Bentivogli, Luisa; Turchi, Marco; ","Is “moby dick” a Whale or a Bird? Named Entities and Terminology in Speech Translation","Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing",,,1707-1716,2021,"Association for Computational Linguistics"
"Gaido, Marco; Papi, Sara; Negri, Matteo; Cettolo, Mauro; Bentivogli, Luisa; ","SBAAM! Eliminating Transcript Dependency in Automatic Subtitling","Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)",,,3673-3691,2024,"Association for Computational Linguistics"
"Fucci, Dennis; Gaido, Marco; Savoldi, Beatrice; Negri, Matteo; Cettolo, Mauro; Bentivogli, Luisa; ","SPES: Spectrogram Perturbation for Explainable Speech-to-Text Generation","Transactions of the Association for Computational Linguistics",,,,"2026","MIT Press"
